id_cliente;nome_cliente;cpf_cliente;email;cidade;id_loja
30;Léo Rocha;978.623.405-74;theodoroaragao@example.net;Freitas de Novaes;30
31;Valentim Campos;412.739.850-79;manuellaferreira@example.org;Aragão das Flores;31
32;Maria Fernanda da Costa;615.802.749-94;joao-guilhermeandrade@example.com;Sampaio de Carvalho;32
33;Sra. Melissa Pimenta;019.285.374-05;ana-juliacampos@example.org;Leão;33
34;Natália Azevedo;170.546.928-02;liz09@example.com;Oliveira;34
35;Ester Rios;185.047.692-67;portohellena@example.com;Souza do Sul;35
36;Sr. Luiz Felipe da Costa;152.074.836-17;esampaio@example.net;Carvalho;36
37;Raul Andrade;430.617.258-90;cda-cunha@example.net;da Paz;37
38;Sr. Lucas da Mata;156.387.490-39;fsales@example.com;Barros das Pedras;38
39;Pedro Pereira;284.905.631-60;maite96@example.org;Ferreira de Machado;39
40;Luiz Gustavo Pimenta;640.753.289-29;casa-grandeluna@example.org;Azevedo;40
41;Luiz Otávio Fonseca;602.537.418-07;sofiafonseca@example.com;Rezende Paulista;41
42;Danilo Alves;276.409.831-69;allanasales@example.com;Campos;42
43;Brayan Machado;271.659.430-99;ana-clara22@example.com;Campos;43
44;Davi Miguel da Costa;705.462.398-38;azevedoana-luiza@example.com;Moura de Jesus;44
45;Ana Sophia Cardoso;517.394.206-16;luanamontenegro@example.org;Moreira;45
46;Kevin Cavalcante;253.946.017-80;jose49@example.net;Montenegro;46
47;Eloá Pastor;928.546.730-00;barroscaleb@example.net;Rezende do Oeste;47
48;Maria Vitória Pinto;074.523.168-35;maria10@example.org;Leão de Mendes;48
49;Gabrielly Fernandes;925.678.410-67;olivia81@example.com;Martins;49
50;João Felipe Machado;321.089.465-51;ana-sophia32@example.com;Monteiro de das Neves;50
51;Alícia Borges;687.194.203-31;maya97@example.com;Caldeira;51
52;Catarina da Luz;569.038.172-12;gomesmirella@example.com;Pinto do Campo;52
53;Calebe Gonçalves;598.617.320-12;andradejoao-guilherme@example.net;Melo do Galho;53
54;Clarice Pereira;825.491.376-55;natalia88@example.com;Melo do Sul;54
55;Dr. Daniel Leão;940.832.167-78;hcavalcante@example.net;Casa Grande de Goiás;19
56;Daniel Correia;075.316.842-17;santosjoao-guilherme@example.net;Novais;42
57;Dr. Vinicius Garcia;527.486.931-91;pcorreia@example.com;Câmara da Mata;31
58;Gustavo Henrique Sales;759.246.801-85;xferreira@example.org;Aparecida da Mata;31
59;Srta. Manuella Macedo;473.192.508-88;ryanaragao@example.net;Porto;26
60;Benjamim Brito;657.081.923-21;erezende@example.com;Sá;46
61;Lorenzo da Paz;013.459.876-84;goncalvesmaya@example.org;Andrade do Sul;5
62;Cauê Farias;478.193.205-32;luan74@example.net;Albuquerque;53
63;Sra. Laís Nunes;326.794.801-04;cirinojoao-lucas@example.com;da Cruz do Sul;50
64;Matheus da Costa;745.289.016-76;davirios@example.org;das Neves de Castro;41
65;Sarah Santos;419.278.503-04;mariasouza@example.net;Leão da Prata;3
66;Zoe Rios;391.486.205-05;novaesmirella@example.org;Cavalcante;32
67;Dr. Danilo Rodrigues;371.490.568-57;dnunes@example.net;Rocha de das Neves;12
68;Srta. Maria Laura da Cunha;031.982.645-70;melobenicio@example.com;Cirino Grande;1
69;Mariah Freitas;679.304.128-22;cavalcantistephany@example.com;Siqueira;43
70;Alexandre Sá;047.568.321-80;thalesmarques@example.com;da Mota;49
71;Daniel Andrade;603.185.497-00;caioguerra@example.com;Nogueira;32
72;Benjamin Carvalho;843.659.271-91;ana-juliacasa-grande@example.net;Jesus;30
73;João Guilherme Araújo;826.430.951-89;lara62@example.com;Cirino da Prata;16
74;Isabella Câmara;427.093.586-38;qda-cruz@example.org;Ramos de Minas;41
75;Maria Eduarda Borges;830.294.756-38;maria-luizacostela@example.com;Albuquerque do Oeste;6
76;Dante Souza;738.914.256-19;pnascimento@example.com;da Luz da Praia;33
77;Sara Martins;175.928.304-50;arthur-gabrielda-luz@example.net;da Rocha Grande;14
78;Lucas da Conceição;637.452.918-91;ucavalcante@example.com;Carvalho;9
79;Dra. Rebeca Cirino;809.675.413-01;davi-luizsantos@example.org;Cunha;9
80;Mirella Freitas;078.964.352-92;stella40@example.net;Cavalcanti do Campo;19
81;Vinicius Cassiano;394.625.801-89;kmarques@example.org;da Rosa;35
82;Anna Liz Rezende;016.374.592-70;enzomonteiro@example.com;Nunes do Campo;41
83;Ana Cecília da Conceição;374.062.591-07;costelajoao-pedro@example.net;Barbosa da Mata;25
84;Isaque Nunes;685.371.024-07;britoluiza@example.org;Fernandes;39
85;Maria Laura Vasconcelos;504.639.172-43;rcirino@example.net;Barros da Mata;14
86;Brayan Barros;426.571.398-09;borgesanthony@example.com;Fonseca de Teixeira;22
87;Cauã Cardoso;126.345.708-80;fogacafrancisco@example.net;Gomes do Sul;40
88;Noah Gomes;183.469.702-69;ana-julia47@example.org;Cavalcante;11
89;Kamilly Leão;471.268.350-35;icaldeira@example.com;Gonçalves;35
90;Dr. Lucas Macedo;562.784.139-73;isabelladias@example.com;Oliveira de Viana;2
91;Luan Garcia;465.091.728-01;nsantos@example.com;Sales de Minas;16
92;Sara Carvalho;439.518.706-48;zpacheco@example.net;Nogueira do Norte;50
93;Sr. Cauê Vargas;352.840.917-79;albuquerquegael-henrique@example.com;Moraes;28
94;Dra. Hellena Machado;567.894.130-57;scaldeira@example.com;Camargo;26
95;Srta. Marcela das Neves;573.482.901-32;edias@example.com;Santos;49
96;Antônio Fernandes;123.496.578-09;zda-conceicao@example.com;Cirino;52
97;Marina Gonçalves;037.485.926-47;agathasa@example.net;Oliveira;11
98;Vitor Gabriel Cirino;593.702.641-16;zpimenta@example.net;Ferreira;29
99;Dr. Erick Rocha;412.708.653-07;joao-miguel86@example.com;Oliveira;31
100;Mariana Cirino;782.413.906-96;manuella90@example.com;Mendonça;26
101;Gael Gomes;897.356.421-82;fcavalcante@example.net;Vieira;26
102;João Vitor Andrade;439.187.520-97;da-matayasmin@example.com;Teixeira;21
103;Sra. Ísis Cunha;613.207.985-86;xcampos@example.org;Sousa;37
104;Marcela Santos;962.415.803-70;stephany25@example.net;da Rocha Verde;14
105;Théo Rocha;126.089.475-49;thales67@example.org;Pires das Pedras;50
106;Milena Barbosa;164.523.790-70;siqueiramaria-cecilia@example.net;Azevedo da Prata;26
107;Helena Lima;374.265.189-73;calebe01@example.net;Almeida de Campos;44
108;Pedro Lucas Marques;063.512.879-95;theodoro15@example.net;Aragão;39
109;Lorena Silveira;361.508.794-10;raelmoreira@example.net;Albuquerque de Albuquerque;3
110;Sra. Bárbara Lima;271.830.456-17;ana-clara26@example.org;Azevedo;29
111;Alexia Pimenta;275.816.394-28;erickbrito@example.org;Pastor;54
112;Sra. Marcela Lima;523.890.167-40;ribeiroana-julia@example.org;Souza;39
113;Laís Ramos;037.891.625-40;fonsecaanna-liz@example.org;Nunes das Pedras;9
114;Sr. Ravy Vargas;109.827.634-50;melissa66@example.net;Barros da Prata;42
115;Daniela da Mota;149.875.260-85;luiza30@example.org;Lopes;40
116;Rafael Pimenta;904.561.832-05;castromaysa@example.com;Cavalcante da Praia;18
117;João Felipe Siqueira;105.632.897-59;gmarques@example.com;Monteiro;22
118;Eloah Freitas;241.850.796-30;albuquerquesamuel@example.org;Fonseca de Gomes;12
119;Felipe Andrade;863.217.950-03;isaque80@example.org;Moreira;39
120;Murilo Azevedo;748.209.351-60;ananunes@example.com;Martins;40
121;Dr. Gael Henrique Siqueira;832.096.175-03;fariasalexandre@example.net;Sousa da Mata;36
122;Gustavo Moura;367.012.894-87;xsampaio@example.com;Pacheco;35
123;Thiago Carvalho;610.358.492-24;isabel55@example.com;da Conceição de Minas;52
124;Davi Luiz Vasconcelos;912.083.457-88;nascimentoelisa@example.org;das Neves de Martins;9
125;Dante Borges;240.196.753-25;isabela80@example.net;da Luz da Serra;1
126;Nathan Machado;893.076.142-96;vasconcelospedro-miguel@example.org;Guerra;19
127;Sr. José Pedro Barbosa;013.578.946-00;martinscarlos-eduardo@example.org;Silveira das Flores;34
128;Ana Garcia;625.198.470-85;pimentasamuel@example.net;Monteiro das Pedras;23
129;Pietra Araújo;146.937.820-50;tviana@example.com;Nogueira de Viana;42
130;Manuella Nunes;856.210.734-44;vasconcelosalana@example.org;Moura de Fogaça;40
131;Isabel Castro;138.240.967-22;luiz-felipe23@example.net;Sousa da Praia;26
132;Ana Santos;523.674.801-17;borgesdaniel@example.org;Almeida;34
133;Pietra Abreu;532.791.608-12;joao-miguelvasconcelos@example.org;Barbosa da Praia;25
134;Dra. Maria Laura Pastor;154.298.367-37;luiz-fernando89@example.com;Rios;37
135;Emanuella Garcia;492.150.378-88;anna-lizpimenta@example.org;Monteiro;40
136;Lucas Souza;135.290.674-07;otto31@example.com;Viana do Campo;36
137;Srta. Ana Julia Gomes;762.385.941-28;mendesrael@example.org;Barbosa de Andrade;54
138;Antônio Dias;418.273.560-90;fernandesmaria-sophia@example.net;Lopes;28
139;Eloah Pereira;620.781.435-53;ana-cecilia31@example.org;Oliveira da Prata;14
140;Daniela Aragão;506.824.379-56;costelaluigi@example.net;Barros do Amparo;46
141;Leandro Viana;678.520.341-44;lfreitas@example.com;da Luz;21
142;Nina da Luz;340.157.826-07;lsa@example.org;Gomes;47
143;Mariah Nascimento;739.208.564-65;samanuela@example.org;Cunha;34
144;Davi Lucas Aparecida;619.857.240-49;gomesisabella@example.net;da Mota do Galho;4
145;Alice Viana;986.031.427-69;nunesguilherme@example.com;Jesus Paulista;11
146;Raquel Oliveira;970.123.654-80;goncalvesbianca@example.net;Aragão;27
147;Sra. Juliana Freitas;054.263.978-56;luisa54@example.net;Pereira de Minas;51
148;Pedro Miguel Cunha;675.904.183-66;xcarvalho@example.net;Cavalcanti;23
149;Guilherme Araújo;307.821.549-05;hporto@example.net;da Costa;34
150;Dr. Pietro Cavalcanti;785.216.093-02;karagao@example.net;Câmara;24
151;Heloisa Rocha;346.805.972-83;camarathiago@example.net;Silva Paulista;52
152;Maria Flor Ferreira;743.928.650-29;moraesevelyn@example.net;da Rosa do Campo;10
153;Ana Luiza Fernandes;459.286.107-85;peixotoisis@example.net;Rodrigues Grande;54
154;Srta. Sara da Rocha;468.350.179-10;wrios@example.net;Cavalcante da Prata;21
155;Juan Brito;724.591.830-97;danielacamara@example.net;Leão Alegre;15
156;Dr. Juan Martins;170.654.893-10;rodriguesgiovanna@example.net;Jesus do Norte;6
157;Davi Miguel Costa;567.128.049-49;ana-sophiaporto@example.org;Machado;31
158;Gustavo Henrique Teixeira;297.601.384-50;elima@example.com;Andrade;39
159;Gabriela Siqueira;509.641.823-51;raelsales@example.com;Cardoso do Campo;11
160;Sarah Pastor;421.608.973-96;irodrigues@example.com;Fogaça de Sá;1
161;Enzo Guerra;038.516.927-21;fonsecabreno@example.com;Vargas da Prata;11
162;Ana Julia Peixoto;019.756.382-12;novaesthiago@example.com;Costela;17
163;Dra. Alexia da Rosa;614.798.302-40;ian17@example.org;Vasconcelos;37
164;Vicente Costa;564.107.398-93;ravy00@example.net;Camargo;22
165;Sabrina Cassiano;189.560.234-33;qda-rocha@example.com;Brito;41
166;Asafe da Rocha;596.807.432-92;bellafogaca@example.com;Siqueira de Minas;29
167;Dr. Fernando Camargo;697.235.480-38;cardosodante@example.org;Leão;49
168;Rafaela Nunes;726.984.053-92;hmendonca@example.com;Aparecida de Azevedo;50
169;Levi Albuquerque;835.467.019-84;qferreira@example.net;Cassiano da Prata;29
170;Ana Júlia Albuquerque;287.631.049-03;biancada-mota@example.org;Novaes;2
171;Maria Flor Guerra;317.946.082-22;isaac70@example.org;Jesus do Norte;32
172;Agatha Borges;943.567.210-80;mariafarias@example.net;Silva de Ribeiro;8
173;Dr. Danilo Brito;305.276.498-56;cavalcantemarina@example.org;Caldeira Paulista;1
174;Fernanda Correia;163.792.058-02;vargasmanuella@example.com;Monteiro;5
175;Vinícius Sousa;086.743.129-69;gustavo-henriquegomes@example.net;Montenegro das Flores;29
176;Isadora da Mota;654.318.927-46;pedro-henrique33@example.net;Rodrigues da Praia;41
177;Caroline Santos;285.709.341-14;lavinia08@example.org;Garcia;38
178;Benjamim Rios;034.612.798-03;nicolas80@example.com;Caldeira de Pimenta;31
179;Heloisa Souza;863.452.019-60;rviana@example.com;Albuquerque;21
180;Sra. Gabriela Pinto;735.649.120-61;manuela21@example.org;Sousa;53
181;Bárbara Garcia;064.721.853-44;fariasmaria-flor@example.net;Aparecida;50
182;Lorenzo Peixoto;047.685.291-94;leomoreira@example.org;Leão;17
183;Zoe Guerra;153.982.467-55;sofiamelo@example.net;Camargo;27
184;Manuella Machado;390.528.716-12;benicio85@example.net;Mendonça de Aparecida;33
185;Gael Duarte;819.745.023-41;paulorodrigues@example.com;Costela;31
186;Maya Ramos;120.358.764-35;cavalcantitheodoro@example.net;Oliveira;40
187;José Pedro Jesus;679.320.854-38;ramosdavi-lucas@example.net;Sampaio;28
188;Luiz Henrique Montenegro;148.702.396-04;melolevi@example.net;Carvalho;32
189;Sra. Ísis da Rocha;245.087.169-11;oliveiraisabel@example.net;das Neves;22
190;Luiz Felipe Cunha;682.195.703-77;cauesa@example.net;Ramos de Novaes;42
191;João Vitor Rios;149.758.362-46;ravybrito@example.com;Correia;20
192;Dr. Rael Farias;942.867.510-58;diasthales@example.org;da Mota da Praia;1
193;Lucas Mendes;795.623.048-92;joao-lucas83@example.com;Siqueira;36
194;Antony Montenegro;063.942.758-83;heloisa39@example.net;Carvalho dos Dourados;44
195;Sophia Borges;650.814.927-01;lcastro@example.net;Sousa;45
196;Sra. Maria Alice Aparecida;379.025.164-06;hellena77@example.org;Rezende;36
197;Sr. Vicente Porto;492.356.780-56;fernanda38@example.com;Ferreira do Amparo;11
198;Alana Montenegro;279.104.853-79;levifonseca@example.net;Ribeiro;53
199;Oliver Farias;178.394.526-55;da-cruzcaio@example.org;Carvalho;29
200;Sophie Aparecida;920.186.357-86;enzo-gabriel37@example.net;Mendes de Cavalcante;9
201;Noah Peixoto;294.158.370-04;gabrielagomes@example.org;Almeida;24
202;Vicente Montenegro;621.734.085-26;mendesjose-pedro@example.net;Vasconcelos;9
203;Marina Moreira;650.843.192-70;gael-henrique62@example.com;Vargas de da Conceição;7
204;João Miguel Peixoto;864.105.723-44;nrezende@example.net;Jesus da Praia;52
205;Eduardo Lima;948.673.251-55;nsa@example.com;Cavalcanti de Freitas;47
206;Rafaela da Cunha;456.810.739-39;cunhanicole@example.com;Novaes do Norte;54
207;Mathias Porto;012.346.958-98;esterbarros@example.net;Silveira;43
208;Maria Liz Pimenta;840.613.972-22;mathias09@example.net;Pimenta;26
209;Arthur Miguel Fonseca;302.879.541-88;mpastor@example.net;Sousa;2
210;Srta. Ayla Novaes;485.261.937-91;da-luzluiz-fernando@example.com;Novais;30
211;Theodoro da Rocha;514.762.389-28;camilavasconcelos@example.com;Pastor de Alves;31
212;Bruna da Luz;163.589.247-37;sampaiovinicius@example.org;Borges das Flores;1
213;Manuela Barbosa;827.961.503-21;msousa@example.org;da Luz;45
214;Ian Costa;352.608.471-80;teixeiravitoria@example.org;Freitas de Pinto;26
215;Dr. João Guilherme Mendonça;284.317.506-26;cnogueira@example.net;Gonçalves da Serra;52
216;Bárbara Sampaio;875.906.134-01;eloa94@example.org;da Costa Paulista;29
217;Manuela Fonseca;276.139.485-28;kcirino@example.org;Brito;25
218;Sra. Isabela Novais;693.158.702-12;imonteiro@example.net;Viana do Amparo;46
219;José Novais;906.851.734-10;gpires@example.com;da Luz da Praia;33
220;Dr. Luiz Felipe Almeida;615.974.820-30;daniela58@example.com;Barros de Garcia;31
221;Laura Martins;295.374.608-00;carolineda-conceicao@example.com;Rezende da Mata;36
222;Sra. Maria Laura da Mata;759.318.062-02;emanuel32@example.com;Brito;14
223;Renan Novaes;096.485.237-38;rezendeheloisa@example.com;da Cruz;7
224;Sra. Melina Pires;298.067.413-31;agatha72@example.net;Pastor;16
225;Mirella Pires;964.237.105-70;emanuelly64@example.org;Albuquerque do Sul;43
226;Catarina Ferreira;470.536.281-08;ravi08@example.com;Jesus;16
227;Maya Gonçalves;326.791.804-96;pietrateixeira@example.net;da Paz da Prata;26
228;Noah Correia;128.703.496-96;auroraalmeida@example.org;Nascimento;38
229;Francisco Caldeira;492.530.187-04;monteiropedro-henrique@example.com;das Neves do Amparo;42
230;Dr. Arthur Gabriel Farias;120.837.546-62;giovanna01@example.net;Gomes;22
231;Isadora Sousa;037.594.182-79;ayla20@example.net;da Cunha;52
232;Letícia Costa;503.817.264-44;isaque63@example.org;Pacheco;29
233;Sra. Daniela Freitas;132.804.765-26;fogacaleandro@example.net;Cardoso;1
234;Isabel Dias;857.910.364-93;bruno77@example.net;Nogueira do Amparo;37
235;Francisco Nogueira;597.248.106-58;qda-rocha@example.net;Marques do Sul;43
236;Sofia Garcia;205.641.938-60;hcorreia@example.net;Vargas de Novaes;11
237;João Miguel Duarte;651.049.832-42;costaheitor@example.com;Brito;44
238;Mathias Ribeiro;784.021.635-80;dbarros@example.net;Fonseca;44
239;Maria Vitória Freitas;049.572.638-92;silveiraravi@example.net;Correia do Oeste;53
240;Isadora Nunes;286.504.931-06;kcaldeira@example.org;Montenegro Alegre;28
241;Eduarda Nascimento;975.246.813-64;rodrigo98@example.org;Vargas da Prata;47
242;Sra. Maria Cecília Machado;760.592.843-29;anthony-gabriel43@example.org;Almeida Paulista;31
243;Sophia Novais;921.038.765-12;theo34@example.com;Oliveira;32
244;Helena Siqueira;157.934.026-16;siqueiragiovanna@example.org;Vargas;46
245;Dr. Pedro Henrique Leão;130.568.794-93;valentina92@example.com;Cassiano;25
246;Matteo Machado;981.732.504-05;enzo79@example.net;Novaes;26
247;Julia Barros;689.751.430-66;pgoncalves@example.net;Novais;13
248;Valentina da Cruz;314.692.058-15;wfonseca@example.org;Ferreira do Sul;36
249;Enzo Gabriel Ferreira;972.301.486-69;enzo-gabrielcamargo@example.net;da Cruz;42
250;Clara da Paz;051.238.974-88;nicolasnogueira@example.net;Novaes do Amparo;48
251;Cecília Sales;069.217.845-76;martinsantony@example.org;Ribeiro Paulista;17
252;Maria Cecília Caldeira;046.138.972-03;cirinomiguel@example.net;Novais de Silva;37
253;Asafe da Cruz;845.361.092-42;ana-julia38@example.com;Pires;14
254;Mathias Alves;843.127.609-69;larada-costa@example.net;Lima;11
255;Lucas Machado;823.514.607-07;lorenavargas@example.org;Dias;40
256;Vitor Silveira;125.690.873-86;luisa42@example.org;Cardoso;36
257;Apollo Teixeira;943.815.067-66;gcarvalho@example.net;Silva de Rezende;46
258;Sr. Mathias Mendonça;728.160.345-26;vcamara@example.net;Sá;51
259;Benício Cavalcanti;795.631.840-84;usilveira@example.com;Moreira;36
260;Rael Marques;036.594.827-65;anamacedo@example.com;Vasconcelos da Mata;12
261;Eloah Lima;402.356.879-10;zoecarvalho@example.com;Duarte dos Dourados;8
262;Felipe Marques;937.025.146-43;camargomanuella@example.net;Barros do Galho;12
263;Sra. Sophia Pimenta;268.019.574-49;caualeao@example.com;Siqueira dos Dourados;8
264;Fernando Campos;230.497.815-05;pereiramarina@example.org;Pastor;42
265;Olívia Marques;671.490.823-78;carlos-eduardocirino@example.org;Rezende;17
266;Sr. Diogo Andrade;945.067.382-92;luiz-gustavo79@example.com;Borges;20
267;Lorenzo Freitas;619.740.285-85;salesyan@example.com;Moura do Oeste;34
268;Srta. Ana Laura Caldeira;981.354.276-46;sara99@example.com;Pimenta;18
269;Sara Moreira;792.418.506-20;martinsisaac@example.net;Pimenta;6
270;Maria Sophia Aparecida;593.081.246-24;ana-clara88@example.com;Camargo;47
271;Lívia Fernandes;602.175.398-40;maria-luisacassiano@example.net;Nascimento de Farias;46
272;Maria Sophia Souza;084.752.931-23;davi-lucca24@example.org;Garcia da Prata;53
273;Mathias Cirino;914.520.687-20;xda-costa@example.com;Cunha do Galho;11
274;Erick Camargo;503.874.619-57;carolinamendes@example.net;Vasconcelos Alegre;37
275;Carlos Eduardo Moreira;230.864.751-53;rodrigueserick@example.com;Aparecida de Caldeira;26
276;Luana Almeida;943.215.687-73;hrios@example.com;Castro;31
277;Danilo Albuquerque;981.742.560-67;samuel21@example.com;Nogueira dos Dourados;24
278;Davi Lucca Alves;701.385.694-01;wpimenta@example.com;Costa da Prata;32
279;Ravi Lucca Nunes;217.039.586-59;joao-pedropimenta@example.com;Gonçalves da Serra;13
280;Dra. Luísa Viana;578.063.912-40;scavalcante@example.com;Moraes;50
281;Nathan Silva;159.624.378-37;ryannovaes@example.org;Gomes de Azevedo;22
282;Sr. Pedro Viana;653.180.749-01;gael72@example.com;Azevedo do Campo;32
283;Maria Helena Duarte;701.964.832-04;snascimento@example.com;Costa de Costela;48
284;Luiza da Rosa;946.520.871-01;ana-beatrizaraujo@example.com;Abreu;26
285;Dra. Maria Alice Camargo;403.759.621-07;yguerra@example.com;Ribeiro;50
286;Renan Carvalho;386.729.140-31;antoniobarbosa@example.net;Casa Grande;41
287;Sra. Maya Carvalho;126.734.580-26;bmoraes@example.net;Gomes de Fogaça;12
288;Francisco Lima;907.651.243-43;andrademaria-sophia@example.net;Camargo Verde;24
289;Anna Liz Casa Grande;847.906.531-10;rodriguesvalentina@example.net;Pimenta do Norte;11
290;Sr. Ravy Marques;875.329.406-83;vicente07@example.net;Oliveira;20
291;João Vitor Sousa;904.381.572-14;alanada-mota@example.com;Sousa;38
292;Erick Pastor;275.619.830-77;fernandesenzo-gabriel@example.org;Monteiro;50
293;Maria Isis da Costa;723.458.061-17;aragaolucas-gabriel@example.com;Melo da Mata;1
294;Yasmin da Conceição;697.214.305-52;rgarcia@example.com;Brito;33
295;Maria Lopes;945.260.731-99;rvargas@example.net;Siqueira;53
296;Evelyn Moreira;529.407.631-43;mouragustavo-henrique@example.net;Ferreira de Câmara;19
297;Sra. Isis Correia;091.847.623-22;pereirajose-pedro@example.com;Camargo;1
298;Srta. Isis da Rocha;719.236.405-34;davi66@example.com;da Luz;2
299;Felipe Macedo;173.489.502-05;ncunha@example.net;Macedo;22
300;Sra. Bella Andrade;194.630.572-34;riosheloisa@example.com;Sampaio;28
301;Dr. Alexandre Moraes;796.350.148-48;kcampos@example.net;Farias da Mata;22
302;Ana Laura Pires;158.032.964-06;mribeiro@example.com;Caldeira da Praia;19
303;Antonella Pires;732.016.589-95;vieiravalentina@example.net;Monteiro da Prata;16
304;Allana Andrade;509.678.342-10;irocha@example.org;Barbosa;8
305;Diego Mendonça;079.156.832-68;gael79@example.org;Caldeira;4
306;Theo Peixoto;931.678.245-73;isaque98@example.org;Vieira do Oeste;1
307;Erick Farias;194.836.250-33;lda-cruz@example.org;Brito;12
308;Maria Flor Vasconcelos;207.865.143-53;zsales@example.com;Costela;23
309;João Gabriel Moreira;763.140.829-78;piresana-julia@example.com;Abreu da Prata;11
310;Gael Campos;815.647.930-01;caue31@example.org;Monteiro de Cavalcanti;39
311;Augusto Aragão;543.729.608-83;nascimentoluiz-gustavo@example.org;Mendonça;42
312;Bruna Barbosa;375.912.806-86;gael-henriqueda-costa@example.net;Costa das Flores;44
313;Brayan Melo;970.315.684-39;joao-gabriel73@example.net;da Mata do Oeste;4
314;Sr. Arthur Gabriel Sales;904.183.765-57;pedro-lucas49@example.org;Oliveira;18
315;Heloísa Borges;687.914.352-00;siqueiraliz@example.net;da Cruz;39
316;Dr. Henry Pastor;206.873.519-95;gsampaio@example.com;da Costa de Barros;18
317;Alice Sales;632.791.084-03;lorenzo79@example.net;Marques;50
318;Cecilia Santos;625.730.418-08;da-rochaleticia@example.com;Viana;30
319;Anna Liz Pinto;509.863.217-02;emanuelly28@example.net;Novais;19
320;Srta. Cecilia Farias;381.594.720-05;clarice48@example.net;da Mota do Norte;41
321;Marcelo Ferreira;791.354.286-19;correiamaria-cecilia@example.org;Gonçalves;28
322;João Pedro Barbosa;124.059.368-60;da-rochalara@example.net;Melo;25
323;Dr. Pedro Miguel Sousa;043.961.287-03;maria-vitoria98@example.net;Marques de da Rosa;26
324;Caroline Vieira;429.138.705-97;alice72@example.net;Silva;44
325;Laura Cirino;298.105.734-05;xda-luz@example.org;Novais;34
326;Srta. Luiza Ferreira;257.416.903-43;xmonteiro@example.org;Dias de Cassiano;52
327;Yago Montenegro;547.281.390-50;iaparecida@example.net;das Neves;35
328;Murilo Pinto;375.026.184-90;matteo01@example.net;Rocha de Rios;41
329;Théo Gonçalves;375.468.021-80;tcasa-grande@example.com;Gomes da Praia;12
330;João Miguel Ferreira;547.680.123-53;smacedo@example.org;Siqueira das Pedras;29
331;Caio Casa Grande;347.682.051-35;abreujulia@example.net;Leão da Serra;48
332;Nicole Santos;923.178.506-03;marina87@example.org;Vieira;50
333;Eduardo da Luz;471.562.308-08;benjamincampos@example.com;Azevedo de Peixoto;42
334;Sra. Rafaela Nunes;647.502.913-07;casa-grandeantonella@example.com;Fogaça;14
335;Benjamim da Mata;569.027.843-29;gabrielpeixoto@example.org;Dias da Mata;30
336;Luiz Miguel Brito;852.014.793-32;kfernandes@example.org;Cassiano;53
337;Hellena Correia;891.360.452-33;tferreira@example.net;Carvalho dos Dourados;42
338;Stephany Teixeira;524.096.178-67;ana-lizcardoso@example.org;Barros;31
339;Brenda Barbosa;076.918.423-50;qcampos@example.org;da Rosa;41
340;Alexia Sá;193.485.207-41;agathapacheco@example.com;Castro do Galho;43
341;Dra. Isabella Montenegro;918.640.725-20;luigi80@example.net;Cunha;28
